,text,first_name,last_name,gender,archetype,label,count,max_proper_mention,poss,agent,patient,mod
18119,"Here is the highly anticipated second installment of Philip Pullman's epic fantasy trilogy, begun with the critically acclaimed The Golden Compass. Lyra and Will, her newfound friend, tumble separately into the strange tropical otherworld of Cittagazze, ""the city of magpies,"" where adults are curiously absent and children run wild. Here their lives become inextricably entwined when Lyra's alethiometer gives her a simple command: find Will's father. Their search is plagued with obstacles--some familiar and some horribly new and unfathomable--but it eventually brings them closer to Will's father and to the Subtle Knife, a deadly, magical, ancient tool that cuts windows between worlds. Through it all, Will and Lyra find themselves hurtling toward the center of a fierce battle against a force so awesome that leagues of mortals, witches, beasts, and spirits from every world are uniting in fear and anger against it. This breathtaking sequel will leave readers eager for the third and final volume of His Dark Materials.",Lyra,,female,Hero,MASTERY,19,Lyra,"[('friend', 1), ('alethiometer', 1), ('father', 1), ('name', 1), ('involvement', 1), ('quest', 1)]","[('tumble', 1), ('find', 1), ('developed', 1), ('saves', 1), ('takes', 1), ('continues', 1)]","[('encounters', 1), ('love', 1), ('Contrasting', 1), ('respect', 1), ('join', 1)]",[]
16181187,"Helena Linx is facing the end. The past year of her life has been marked with lies, danger, and loss. After a chaotic breakout from the Lazaretto Penitentiary, Helena and her friends find themselves with few options and even fewer allies as they continue their quest to reveal the truth about the Cavall virus. Their journey comes to a close in Arbella: the capital of the post-Cavall America and the site of the fifteenth anniversary of the quarantine complexes.
With the annual Candlelight Festival looming, time is running out--and the return to Arbella proves far more tumultuous than ever before. But after living a life characterized by death and ignorance, Helena knows that one path that can undo more than a decade of deception. There is only one thing that can end the lies in the post-Cavall world: revelation.
Capital is the sequel to The Complex, Severance, and Panopticon, and is the fourth and final installment in the Linx Series.",Helena,Linx,female,Hero,MASTERY,5,Helena,"[('life', 1), ('friends', 1)]","[('facing', 1), ('knows', 1)]",[],[]
7747263,"After inheriting the dark Van Alen Legacy, Schuyler fled to Florence with her forbidden love, Jack. Now the two of them must embark on the mission Schuyler was destined to complete: to find and protect the five remaining gates that guard the earth from Lucifer, lord of the Silver Bloods.
Back in New York, Mimi has been elected Regent of a crumbling coven. Struggling with her heartache over the loss of Kingsley and with her overwhelming desire to destroy Jack, she must focus all of her energy on a perilous new threat. Vampires are being abducted and their captors are planning to burn them alive online...for all the world to see. Help arrives in the form of Deming Chen, a Venator from Shanghai, who must untangle the web of deceptions before the killers strike again.
As the young vampires struggle for the survival of the coven, they uncover a deadly secret, a truth first discovered by Schuyler's mother during the Renaissance but kept buried for centuries. And as the Blue Blood enclave weakens yet further, fate leads Schuyler to a terrible choice that will ultimately map the destiny of her heart.",Schuyler,,female,Hero,MASTERY,17,Schuyler,"[('mother', 1), ('father', 1)]","[('fled', 1), ('get', 1)]","[('destined', 1), ('leads', 1), ('liking', 1)]",[]
31702742,"Paula Stokes returns to the world of Vicarious in this sequel, a high-action psychological thriller with a protagonist out for vengeance.
When Winter Kim finds out that her sister is dead and that she has a brother she never knew about, only two things matter--finding what's left of her family and killing the man who destroyed her life. Her mission leads her from St. Louis to Los Angeles back to South Korea, where she grew up.
Things get increasingly dangerous once Winter arrives in Seoul. Aided by her friends Jesse and Sebastian, Winter attempts to infiltrate an international corporation to get close to her target, a nefarious businessman named Kyung. But keeping her last remaining loved ones out of the line of fire proves difficult, and when all seems to be lost, Winter must face one last devastating decision: is revenge worth sacrificing everything for? Or can she find a spark of hope in the darkness that threatens to engulf her?",Winter,Kim,female,Outlaw,MASTERY,172,Winter,"[('life', 5), ('sister', 4), ('mind', 4), ('mission', 3), ('family', 2), ('friends', 2), ('target', 2), ('alters', 2), ('need', 2), ('benefit', 1)]","[('finds', 3), ('has', 3), ('knew', 3), ('trying', 3), ('do', 3), ('worries', 3), ('needs', 3), ('grew', 2), ('arrives', 2), ('attempts', 2)]","[('leads', 2), ('keeping', 2), ('engulf', 2), ('loved', 2), ('pulled', 1), ('follows', 1), ('finds', 1), ('loves', 1), ('treats', 1), ('devastated', 1)]","[('determined', 2), ('character', 2), ('person', 1), ('aware', 1), ('easy', 1), ('human', 1), ('okay', 1), ('real', 1)]"
22263770,"Thirteen-year-old Levi Middleworth insists he's got a Destiny, even if half the internet's tried to bully it out of him with a viral video. When a Hollywood executive in a trim green suit invites Levi to star on a reality TV show aboard a hi-tech pirate ship, Levi thinks his Destiny's finally come a knockin' a bit of fame is exactly what he needs to finally make some friends his eighth grade year. But almost as soon as they set sail, the games aboard the ship turn savage, and he and his new bud Holly must do everything they can to find themselves some Chums little round-headed autonomous toys since failing to do so means getting thrown to the sharks. With the help of Levi's long-lost television hero and a tech-savvy pirate crew, Levi has to rethink his quest for fame in an attempt to save himself, his fellow contestants, and every human being on the beach from a feeding frenzy of grisly proportions.",Levi,Middleworth,male,Hero,MASTERY,30,Levi,"[('Destiny', 1), ('year', 1), ('bud', 1), ('hero', 1), ('crew', 1), ('quest', 1), ('contestants', 1), ('being', 1), ('mind', 1), ('stories', 1)]","[('insists', 1), ('thinks', 1), ('needs', 1), ('do', 1), ('means', 1), ('has', 1), ('ends', 1), ('believes', 1), ('believed', 1), ('becomes', 1)]","[('got', 1), ('invites', 1), ('save', 1), ('redeem', 1)]","[('part', 1), ('character', 1), ('old', 1), ('full', 1)]"
30606905,"The first book in the Britannia Beach series, perfect for fans of Katie McGarry.
'Did you miss me?'
Returning home to Britannia Beach a year after her life was shattered is bittersweet for Derian Lafleur. Although some things settle back into place, others don't click like they used to...especially her friendship with Trevor Maverty.
Derian suddenly wishes the boy next door would see her as more than just a kid sister type. She tries to be everything she thinks he's looking for-- bolder, more experienced - but is that who she wants to be?
With the fate of her family's historic inn on the line and Trevor making life more complicated by the day, Derian struggles to manage her unexpected feelings, and deal with a past she's not quite ready to leave behind.",Derian,Lafleur,female,Lover,BELONGING,6,Derian,[],"[('wishes', 1), ('tries', 1), ('thinks', 1), ('wants', 1), ('struggles', 1), ('deal', 1)]",[],[]
13579040,"I should not exist. But I do.
Eva and Addie started out the same way as everyone else--two souls woven together in one body, taking turns controlling their movements as they learned how to walk, how to sing, how to dance. But as they grew, so did the worried whispers. Why aren't they settling? Why isn't one of them fading? The doctors ran tests, the neighbors shied away, and their parents begged for more time. Finally Addie was pronounced healthy and Eva was declared gone. Except, she wasn't . . .
For the past three years, Eva has clung to the remnants of her life. Only Addie knows she's still there, trapped inside their body. Then one day, they discover there may be a way for Eva to move again. The risks are unimaginable-hybrids are considered a threat to society, so if they are caught, Addie and Eva will be locked away with the others. And yet . . . for a chance to smile, to twirl, to speak, Eva will do anything.",Eva,,female,Innocent,INDEPENDENCE,43,Eva,"[('point', 2), ('pain', 1), ('presence', 1), ('relationship', 1), ('words', 1)]","[('move', 3), ('refuses', 2), ('started', 1), ('clung', 1), ('do', 1), ('faded', 1), ('held', 1), ('want', 1), ('keep', 1), ('bear', 1)]","[('declared', 1), ('locked', 1), ('show', 1), ('thinks', 1)]","[('different', 1), ('eager', 1)]"
16104184,"Premise of the series:
Sixteen-year-old Decca Tenderstone lives in a dystopian future Los Angeles, where every sixteen-year-old is ranked on a scale from One to Ten to determine their future. Teens ranked less than Five are called Monsters and are considered a danger to society. They are forced to attend the Monster Show- a brutal, sacrificial ritual that is broadcast worldwide on live TV. IF you can survive the Monster Show, you become a Ten. That's a big IF- no one has ever become a Ten.
In this Episode:Will Decca, Leo, and the rest survive the Breathing Dome? Is Woo Alive? What does the Summit have in store for the Monsters? And what is the Wheel of Fortune? Who will Decca have to kill in order to save the others?",Decca,Tenderstone,other,Outlaw,MASTERY,3,Decca,[],"[('lives', 1), ('survive', 1), ('have', 1)]",[],[]
18192973,"Eighteen-year-old Nessa knows what it's like to be an endangered species. Growing up in a dying world where nine out of ten babies are born male, she survives by trusting no one. When Marlin, the nineteen-year-old gunslinger with the sky-blue eyes, kills the man who has been keeping her enslaved, Nessa decides this handsome stranger might be her meal ticket. What she doesn't realize is love is still possible, even in their decimated world. When Nessa discovers she's pregnant with Marlin's child, her difficult life now teeters on a knife's edge. Can she bear to bring a child into their shattered world? Better yet, can Marlin keep them safe from those that hunt Nessa?
A companion story to The Breeders, this prequel novelette (34 pages or 10,000 words) explores the origins of two important characters and gives a deeper look into their background. It contains minor spoilers to the novel and is intended for mature teens and adults.",Nessa,,female,Lover,BELONGING,12,Nessa,"[('ticket', 1), ('life', 1)]","[('knows', 1), ('survives', 1), ('decides', 1), ('realize', 1), ('discovers', 1), ('bear', 1)]","[('keeping', 1)]","[('pregnant', 1)]"
22457513,"When the past and the present collide...
Hailey Kent knows how she wants to spend the summer before her junior year in high school: hanging out at the pool with Jenna, her BFF; riding her new trail bike on Vermont's country roads; and flirting with Jenna's hot older brother, Cody.
Hailey's plans are shattered when a post-graduation accident puts her brother into a coma. Feeling guilty for not stopping him from going out that night, she seeks solace in exploring an old house and its overgrown gardens.
A mysterious correlation of events propels her back in time to the Vietnam War era, where she realizes she can use her knowledge of one boy's fate to save his life.
But first, Hailey needs to convince him of her sanity.",Hailey,Kent,female,Caregiver,STABILITY,17,Hailey,"[('year', 1), ('BFF', 1), ('bike', 1), ('plans', 1), ('brother', 1), ('knowledge', 1), ('sanity', 1), ('life', 1), ('friends', 1), ('family', 1)]","[('knows', 1), ('wants', 1), ('seeks', 1), ('realizes', 1), ('use', 1), ('needs', 1), ('travels', 1)]","[('propels', 1)]",[]
17261349,"Raised by her father on the East Coast, Logan Kessler, was as far-removed as she could be from the world of Hollywood where her mother, an A-List actress, made a name for herself. Only gaining snippets of what life in Hollywood was like from the summers she spent with her mom, she didn't know how much she didn't want to be a part of that world until her face was splayed across the tabloids linking her to up-and-coming actor, Garrett Lewis, a friend from her childhood who was just that - a friend.
But the paparazzi seem to think otherwise. So when she moves to Los Angeles to attend the University of Southern California, Logan just wants to lay low and avoid the celebrity scene as much as she can. But that becomes harder than she thinks when she meets the famous Jason ""Jase"" Brady at a party. Of course all of her assumptions about one of the most sought-after young actors in Hollywood are shot down when she realizes that Jase is one of the sweetest, most unassuming, adorable guys she's ever met, and he's so down to earth. How could she not like him?
But in Hollywood, appearances can be deceiving. Jase has secrets in his past that he knows could come back to haunt him at any moment. He can't leave his house without getting swarmed by women who want a piece of him, and the paparazzi seem to always be lying in wait to capture his every move. Logan soon realizes that dating one of the hottest actors in the world has some major drawbacks, but is she willing to put those aside for the person Jase is on the inside? Can she love someone who comes with a whole world of baggage she never planned to carry?",Jase,,male,Lover,BELONGING,17,Jase,"[('past', 1), ('house', 1), ('move', 1)]","[('has', 1), ('knows', 1), ('leave', 1), ('seem', 1), ('made', 1)]","[('like', 2), ('meets', 1), ('haunt', 1)]",[]
25501487,"Though the Greek and Roman crewmembers of the Argo IIhave made progress in their many quests, they still seem no closer to defeating the earth mother, Gaea. Her giants have risen--all of them--and they're stronger than ever. They must be stopped before the Feast of Spes, when Gaea plans to have two demigods sacrificed in Athens. She needs their blood--the blood of Olympus--in order to wake.
The demigods are having more frequent visions of a terrible battle at Camp Half-Blood. The Roman legion from Camp Jupiter, led by Octavian, is almost within striking distance. Though it is tempting to take the Athena Parthenos to Athens to use as a secret weapon, the friends know that the huge statue belongs back on Long Island, where it ""might"" be able to stop a war between the two camps.
The Athena Parthenos will go west; the Argo IIwill go east. The gods, still suffering from multiple personality disorder, are useless. How can a handful of young demigods hope to persevere against Gaea's army of powerful giants? As dangerous as it is to head to Athens, they have no other option. They have sacrificed too much already. And if Gaea wakes, it is game over.",Gaea,,female,Magician,MASTERY,6,Gaea,"[('giants', 1), ('army', 1)]","[('plans', 1), ('needs', 1)]",[],[]
1739991,"About three things I was absolutely positive:
First, Edward was a vampire.
Second, there was a part of him-and I didn't know how dominant that part might be-that thirsted for my blood.
And third, I was unconditionally and irrevocably in love with him.
""I'D NEVER GIVEN MUCH THOUGHT TO HOW I WOULD DIE- I'd had reason enough in the last few months -but even if I had, I would not have imagined it like this. . . . Surely it was a good way to die, in the place of something else, someone I loved. Noble, even. That ought to count for something.""
When Isabella Swan moves to the gloomy town of Forks and meets the mysterious, alluring Edward Cullen, her life takes a thrilling and terrifying turn. With his porcelain skin, golden eyes, mesmerizing voice, and supernatural gifts, Edward is both irresistible and impenetrable. Up until now, he has managed to keep his true identity hidden, but Bella is determined to uncover his dark secret.
What Bella doesn't realize is the closer she gets to him, the more she is putting herself and those around her at risk. And, it might be too late to turn back. . . .
Deeply seductive and extraordinarily suspenseful, Twilightwill have readers riveted right until the very last page is turned.",Edward,Cullen,male,Outlaw,MASTERY,10,Edward,"[('skin', 1), ('eyes', 1), ('identity', 1), ('secret', 1)]","[('managed', 1)]","[('meets', 1)]","[('vampire', 1), ('irresistible', 1), ('impenetrable', 1)]"
21888233,"Seventeen-year-old Skylar has been haunted for as long as she can remember by fleeting yet powerful sensations that something is horribly wrong. But despite the panic attacks tormenting her, nothing ever happens, and Sky's beginning to think she's crazy. Then she meets a mysterious, otherworldly boy named Win and discovers the shocking truth her premonitions have tapped into: our world no longer belongs to us. For thousands of years, Earth has been at the mercy of alien scientists who care nothing for its inhabitants and are using us as the unwitting subjects of their time-manipulating experiments. Win belongs to a rebel faction seeking to put a stop to it, and he needs Skylar's help--but with each shift in the past, the very fabric of reality is unraveling, and soon there may be no Earth left to save.",Sky,,female,Hero,MASTERY,29,Skylar,"[('help', 2), ('premonitions', 1), ('life', 1), ('head', 1), ('brother', 1), ('reaction', 1), ('flashes', 1)]","[('goes', 2), ('starts', 2), ('remember', 1), ('meets', 1), ('discovers', 1), ('dealing', 1), ('notices', 1), ('tried', 1), ('catches', 1), ('joins', 1)]","[('haunted', 1), ('tormenting', 1), ('calm', 1), ('approaches', 1)]","[('crazy', 1)]"
20360301,"The perfect gift for fans of ""The Hunger Games"" and "" Divergent,"" this boxed set includes all of the paperback editions of James Dashner's"" New York Times"" bestselling series""--The Maze Runner,"" ""The Scorch Trials,"" ""The Death Cure"" and ""The Kill Order."" ""The Maze Runner"" motion picture featuring the star of MTV's ""Teen Wolf,"" Dylan O'Brien; Kaya Scodelario;Aml Ameen; Will Poulter; and Thomas Brodie-Sangster, and hits theaters September 19, 2014! Also look for James Dashner's newest book ""The Eye of Minds,"" book one in the Mortality Doctrine series.
""If you ain't scared, you ain't human.""
When Thomas wakes up in the lift, the only thing he can remember is his name. He's surrounded by strangers--boys whose memories are also gone.
""Nice to meet ya, shank. Welcome to the Glade.""
Outside the towering stone walls that surround the Glade is a limitless, ever-changing maze. It's the only way out--and no one's ever made it through alive.
""Everything is going to change.""
Then a girl arrives. The first girl ever. And the message she delivers is terrifying.
Remember. Survive. Run.
Praise for the Maze Runner series:
""[A] mysterious survival saga that passionate fans describe as a fusion of ""Lord of the Flies,"" ""The Hunger Games,"" and ""Lost.""""--EW.com
""Wonderful action writing--fast-paced...but smart and well observed.""--""Newsday""
""[A] nail-biting must-read.""--Seventeen.com
""Breathless, cinematic action."" --""Publishers Weekly""
""Heart-pounding to the very last moment."" --""Kirkus Reviews""
""Exclamation-worthy."" --""Romantic Times""
[STAR] ""James Dashner's illuminating prequel [""The Kill Order""] will thrill fans of this Maze Runner [series] and prove just as exciting for readers new to the series.""-""Shelf Awareness,"" Starred",Maze,Runner,other,None,NONE,0,,,,,
23575434,"We've seen Ella's story in The Night We Said Yes, but now we'll hear Matt's tale in this e-original novella from Lauren Gibaldi.
Seventeen-year-old Matt had the perfect life in Orlando. He met the girl of his dreams, rocked out on bass in an awesome band, and partied with the best group of friends he could ask for. But then his family gets a call and he has to move back to Texas--immediately. Now stuck with no possibility of ever seeing his friends in Orlando again, Matt is ready to give up. But can he open up his heart to new friends and a second chance?
Epic Reads Impulse is a digital imprint with new releases each month.",Matt,,male,Everyman,BELONGING,54,Matt,"[('friends', 4), ('head', 3), ('Story', 3), ('feelings', 2), ('tale', 1), ('dreams', 1), ('family', 1), ('heart', 1), ('STORY', 1), ('party', 1)]","[('has', 2), ('had', 1), ('met', 1), ('ask', 1), ('open', 1), ('thinks', 1), ('decided', 1), ('seems', 1), ('takes', 1), ('abandons', 1)]","[('follows', 1), ('hug', 1), ('led', 1), ('leads', 1)]","[('ready', 1), ('unwilling', 1), ('passive', 1)]"
1294155,"Sofia comes from a family of storytellers. Here are her tales of growing up in the barrio in McAllen, Texas, full of the magic and mystery of family traditions: making Easter cascarones, celebrating el Dia de los Muertos, preparing for quinceanera, rejoicing in the Christmas nacimiento, and curing homesickness by eating the tequila worm. When Sofia is singled out to receive a scholarship to boarding school, she longs to explore life beyond the barrio, even though it means leaving her family to navigate a strange world of rich, privileged kids. It's a different mundo, but one where Sofia's traditions take on new meaning and illuminate her path.",Sofia,,female,Explorer,INDEPENDENCE,29,Sofia,"[('family', 3), ('traditions', 2), ('tales', 1), ('path', 1), ('issues', 1), ('cousin', 1), ('identity', 1), ('parents', 1), ('culture', 1), ('school', 1)]","[('comes', 2), ('lives', 2), ('has', 2), ('longs', 1), ('wants', 1), ('study', 1), ('seeks', 1), ('knows', 1)]","[('singled', 1)]","[('character', 1)]"
11700238,"After the death of her beloved Grandmother Hudson, Rain found herself caught in a battle for the vast Hudson family wealth. Marked to inherit millions, Rain faced the fury of her unaccepting mother, her manipulative stepfather, and her cold, vicious Aunt Victoria. But no amount of money can keep Rain's world from crashing down when sudden tragedy strikes.
Left helpless after a devastating blow, Rain sinks into despair as her precious dreams are washed away...dreams that cannot be bought with the Hudson fortune. Her only hope for rebuilding her life rests in trusting a stranger who has come into her worlda man whose generosity and kindness does not appear to come with strings attached, much to Rain's amazement. But just as she opens her heart to a promising new future, her past comes back to haunt herand Rain is pulled into a furious whirlpool of bitterness and heartache...",Rain,,female,Innocent,INDEPENDENCE,15,Rain,"[('world', 1), ('dreams', 1), ('hope', 1), ('life', 1), ('man', 1), ('amazement', 1), ('heart', 1), ('past', 1)]","[('found', 1), ('caught', 1), ('faced', 1), ('sinks', 1), ('opens', 1)]","[('pulled', 1)]",[]
23015970,"Penelope never dreamed she'd become a superhuman experiment masquerading as a puppet.
She never dreamed everything would be taken from her; even her ability to lie.
Nor did she ever dream that she would become something so unreal.
Penelope lives in a world of advanced technology. Marionettes have advanced in the form of robots; lifelike creations remote controlled to perform super human tasks.
When Penelope makes a deal with Jed, a marionette-obsessed scientist, she doesn't fully realize what she's getting herself into. In order for Jed to take her away from the orphanage she lives in, she must first agree to undergo his experiments and tests, ultimately creating something no one ever dreamed possible; the first living marionette.
As Jed shows off his scientific creation to the world, concerns arise surrounding Penelope's abilities and what she's capable of doing. Ordered to somehow lessen her abilities, Jed makes a desperate attempt to change Penelope to make her more human, more vulnerable. After Penelope lies to the officials about her past, Jed makes sure it's the last one she'll ever utter. The truth is now the only thing she is capable of telling.
As Penelope struggles with her past, her disturbingly new present, and her uncertain future, she is thrust into a magically twisted world of mayhem in search of the one thing she wants, but knows she can never have. The chance to be just a girl again. To be normal. To be real.",Penelope,,female,Innocent,INDEPENDENCE,122,Penelope,"[('abilities', 3), ('past', 2), ('future', 2), ('time', 2), ('life', 2), ('ability', 1), ('present', 1), ('own', 1), ('rights', 1), ('interest', 1)]","[('feels', 4), ('become', 3), ('have', 3), ('dreamed', 2), ('lives', 2), ('wants', 2), ('do', 2), ('sneered', 2), ('dream', 1), ('makes', 1)]","[('getting', 1), ('take', 1), ('change', 1), ('thrust', 1), ('showing', 1), ('view', 1), ('made', 1), ('follows', 1), ('adopts', 1), ('hear', 1)]","[('capable', 2), ('marionette', 1), ('narrator', 1), ('human', 1), ('thankful', 1), ('pleased', 1), ('sure', 1), ('okay', 1), ('real', 1), ('different', 1)]"
17790217,"Indie has spent the last few weeks frantically searching for Paige. She's tried every spell imaginable, but witchcraft has gotten her nowhere, and she's going crazy with guilt. Despite what her warlock boyfriend, Bishop, tells her, Indie knows it's her fault her best friend was kidnapped by the Priory. And with the Priory destroyed, finding Paige feels more hopeless than ever-especially when Indie discovers that Paige isn't even on Earth. She's trapped in Los Demonios, an alternate dimension of Los Angeles filled with evil paranormals. No one who has gone there has ever come out.
Fueled by terror and loyalty, Indie is desperate to find a way into the underworld prison. She'll worry about getting out later. But facing the dark world's most dangerous witches and warlocks on her own means keeping her plan hush-hush-and forging alliances with some sketchy people, including a seriously sexy sorcerer.
Sometimes a witch must keep secrets from the people she cares about most. And sometimes she isn't the only one with secrets...",Indie,,female,Hero,MASTERY,58,Indie,"[('friend', 3), ('boyfriend', 2), ('fault', 2), ('aunt', 2), ('story', 2), ('means', 1), ('relationship', 1), ('dad', 1), ('father', 1), ('life', 1)]","[('spent', 1), ('going', 1), ('knows', 1), ('discovers', 1), ('worry', 1), ('thought', 1), ('looked', 1), ('embarks', 1), ('does', 1), ('seems', 1)]","[('tried', 1), ('gotten', 1), ('tells', 1)]","[('willing', 3), ('desperate', 1), ('judgy', 1), ('better', 1), ('able', 1), ('character', 1), ('intelligent', 1), ('strong', 1)]"
10100493,"Swept away into a court of magic and beauty, she discovers she is Tania, the lost princess of Faerie: the youngest daughter of Oberon and Titania. Since Tania's mysterious disappearance on the eve of her wedding five hundred years before, Faerie has been sunk in darkness and gloom. The courtly Lord Gabriel Drake, who Tania was once to marry, has found her and brought her back.
With Tania's return, Faerie comes alive again as a land of winged children, glittering balls, and fantastic delights. But Tania can't forget Anita's world, or the boy she loved there.
Torn between two loves and between two worlds, Tania slowly comes to discover why she disappeared so long ago. She possesses a singular magical ability and she must use it to stop a sinister plan that threatens the entire world of Faerie.",Tania,,female,Innocent,INDEPENDENCE,13,Tania,"[('disappearance', 1), ('wedding', 1), ('return', 1)]","[('use', 2), ('forget', 1), ('loved', 1), ('comes', 1), ('disappeared', 1), ('possesses', 1)]","[('found', 1), ('brought', 1)]",[]
13429642,"Whether she likes it or not, ten-year-old Piper Lee DeLuna is about to get a new family. Four years after the plane Piper's daddy was piloting disappeared, her mama is remarrying. The way Piper sees it, Mama's being plain disloyal. Besides, who'd want to get stuck with a prison guard for a stepdad and that weenie, Ginger, for a stepsister? But when Piper Lee hatches a foolproof plan to get the wedding called off, it quickly spirals out of control. And by the time Piper realizes what she's done--and just how much she really cares about her new family--it might be too late. With a perfect blend of heartbreak and humor, this refreshing middle-grade debut explores opening one's heart and learning to let go.",Piper,Lee,female,Everyman,BELONGING,101,Piper,"[('daddy', 5), ('father', 5), ('mama', 4), ('mother', 2), ('mom', 2), ('family', 1), ('gumption', 1), ('moms', 1), ('mom-', 1), ('others-', 1)]","[('realizes', 3), ('wants', 3), ('knows', 3), ('cares', 2), ('makes', 2), ('has', 2), ('sees', 1), ('hatches', 1), ('acts', 1), ('hopes', 1)]","[('done', 1), ('loved', 1), ('allow', 1), ('allowed', 1), ('spots', 1), ('take', 1), ('helps', 1)]","[('girl', 2), ('about', 1), ('resentful', 1), ('old', 1), ('kid', 1), ('young', 1), ('happy', 1), ('realistic', 1), ('selfish', 1), ('real', 1)]"
17310513,"In R.L. Stine's A Midsummer Night's Scream, the Master of Horror takes on the Master of Theatre!
Oh, what fools these actors be!
It was a horror movie that turned into real horror--three young actors lost their lives while the camera rolled. Production stopped, and people claimed that the movie was cursed.
Sixty years later, new actors are venturing onto the haunted set. In a desperate attempt to revive their failing studio, Claire's dad has green-lit a remake of Mayhem Manor--and Claire and her friends are dying to be involved.
At first, Claire laughs at Jake's talk of ghosts and curses. He's been too busy crushing on her best friend Delia to notice that she's practically been throwing herself at him. What does he know? And anyway, this is her big chance to be a star!
When shooting starts, though, the set is plagued by a series of horrible accidents--could history be repeating itself?",Claire,,female,Lover,BELONGING,6,Claire,"[('dad', 1), ('friends', 1), ('friend', 1), ('chance', 1)]","[('dying', 1), ('laughs', 1)]",[],[]
25432577,"Kait Lenox and Ethan Ripley are officially in the I love you stage and they can't keep their hands off each other. When she's not making out with Ethan, Kait also has a new internship at the local police department. Kait's life is finally perfect, that is until she sees her boss interrogating someone she knows. It's Troy, her ex-BFF Ariel's boyfriend and it looks like he's going to be accused of murder. Kait knows she probably shouldn't get involved and that Ethan will hate it, but she just can't help herself!",Kait,Lenox,female,Explorer,INDEPENDENCE,26,Kait,"[('life', 1), ('boss', 1), ('boyfriend', 1), ('internship', 1), ('surprise', 1), ('ex', 1)]","[('knows', 3), ('help', 2), ('making', 1), ('has', 1), ('sees', 1), ('falling', 1), ('overhears', 1), ('decides', 1), ('freaks', 1), ('calls', 1)]","[('involved', 1), ('help', 1), ('tells', 1), ('driven', 1)]",[]
18053184,"Rule One:Nothing is right, nothing is wrong.
Rule Two:Be careful.
Rule Three:Fight using your legs whenever possible, because they're the strongest part of your body.
Rule Four:Hit to kill. The first blow should be the last, if at all possible.
Rule Five:The letters are the law.
Kit takes her role as London's notorious ""Perfect Killer"" seriously. The letters and cash that come to her via a secret mailbox are not a game; choosing who to kill is not an impulse decision. Every letter she receives begins with ""Dear Killer,"" and every time Kit murders, she leaves a letter with the dead body. Her moral nihilism and thus her murders are a way of life--the only way of life she has ever known.
But when a letter appears in the mailbox that will have the power to topple Kit's convictions as perfectly as she commits her murders, she must make a decision: follow the only rules she has ever known, or challenge Rule One and go from there.
Katherine's Ewell's Dear Killeris a sinister psychological thriller that explores the thin line between good and evil and the messiness of that inevitable moment when life contradicts everything you believe.",Rule,One,other,None,NONE,0,,,,,
12420414,"After Joe's parents died, he stopped growing up. He doesn't know where his money comes from. His diet consists primarily of cheeseburgers from McDonald's. He plays basketball on the level of a pro, but he has only ever played on the streets. Then his brother disappears, and Julia shows up. Joe falls in love with Julia as quickly as his twin brother, Alvin, did. And like Alvin did before him, he runs away with Julia to her parents' hotel. There, he's so blinded by her seductive, dysfunctional family that he can't see the truth of his brother's disappearance ...until he accidentally stumbles upon Alvin's killer.",Alvin,,male,Innocent,INDEPENDENCE,3,Alvin,"[('killer', 1)]","[('did', 1)]",[],[]
25886094,"PAWN...CAPTIVE...QUEEN? 
Kitty Doe is a Blackcoat rebel and a former captive with a deadly connection to the most powerful and dangerous man in the country, Prime Minister Daxton Hart. Forced to masquerade as Daxton's niece, Lila Hart, Kitty has helped the Blackcoats take back the prison known as Elsewhere. But Daxton has no intention of ceding his position of privilege--or letting Kitty expose his own masquerade. Not in these United States, where each person's rank means the difference between luxury and poverty, freedom and fear...and ultimately, between life and death. 
To defeat the corrupt government, Kitty must expose Daxton's secret. Securing evidence will put others in jeopardy, including the boy she's loved forever and an ally she barely trusts. For months, Kitty's survival has hinged on playing a part. Now she must discover who she truly wants to be, and whether the new world she and the rebels are striving to create has a place in it for her after all.",Daxton,Hart,male,Ruler,STABILITY,6,Daxton,"[('niece', 1), ('position', 1), ('masquerade', 1), ('secret', 1)]","[('has', 1)]",[],[]
